[Shapes] X_tr:(2137, 3), X_va:(457, 3), X_te:(459, 3) | F=3
[Info] Model input feature order -> ['ili', 'delta_ili', 'peak_gap']
[Batch] Xb.shape=(32, 9, 4, 3) (B,P,L,F), yb.shape=(32, 3)
[Batch] Feature order used -> ['ili', 'delta_ili', 'peak_gap']
[Epoch 049/200] LR=0.000298 | Loss T/V=0.05850/0.09523 | MAE  T/V=2.34616/2.66254Corr V=0.848
[Epoch 050/200] LR=0.000298 | Loss T/V=0.05477/0.10241 | MAE  T/V=2.31247/3.11962Corr V=0.850
[Epoch 051/200] LR=0.000298 | Loss T/V=0.04856/0.09043 | MAE  T/V=2.21753/2.81134Corr V=0.842
[Epoch 052/200] LR=0.000298 | Loss T/V=0.05011/0.08779 | MAE  T/V=2.26650/2.72916Corr V=0.831
[Epoch 053/200] LR=0.000298 | Loss T/V=0.05410/0.08346 | MAE  T/V=2.25765/2.77451Corr V=0.848
[Epoch 054/200] LR=0.000298 | Loss T/V=0.05628/0.08728 | MAE  T/V=2.32146/2.63093Corr V=0.849
[Epoch 055/200] LR=0.000298 | Loss T/V=0.05394/0.10353 | MAE  T/V=2.29701/2.71835Corr V=0.840
[Epoch 056/200] LR=0.000298 | Loss T/V=0.05290/0.09251 | MAE  T/V=2.22371/2.67049Corr V=0.856
[Epoch 057/200] LR=0.000298 | Loss T/V=0.04745/0.10254 | MAE  T/V=2.16326/3.14985Corr V=0.856
[Epoch 058/200] LR=0.000298 | Loss T/V=0.05258/0.11123 | MAE  T/V=2.29966/2.92084Corr V=0.837
[Epoch 059/200] LR=0.000298 | Loss T/V=0.05294/0.11180 | MAE  T/V=2.27298/3.41782Corr V=0.842
[Epoch 060/200] LR=0.000298 | Loss T/V=0.05255/0.07638 | MAE  T/V=2.22563/2.56083Corr V=0.847
[Epoch 061/200] LR=0.000298 | Loss T/V=0.05192/0.09710 | MAE  T/V=2.22373/2.77841Corr V=0.856
[Epoch 062/200] LR=0.000298 | Loss T/V=0.05375/0.11361 | MAE  T/V=2.25354/3.07061Corr V=0.861
[Epoch 063/200] LR=0.000298 | Loss T/V=0.05362/0.09959 | MAE  T/V=2.26453/2.78561Corr V=0.853
[Epoch 064/200] LR=0.000298 | Loss T/V=0.05382/0.11485 | MAE  T/V=2.23803/2.88361Corr V=0.866
[Epoch 065/200] LR=0.000297 | Loss T/V=0.05151/0.10362 | MAE  T/V=2.22179/2.71319Corr V=0.850
[Epoch 066/200] LR=0.000297 | Loss T/V=0.04290/0.09456 | MAE  T/V=2.12699/3.14331Corr V=0.871
[Epoch 067/200] LR=0.000297 | Loss T/V=0.03947/0.10552 | MAE  T/V=2.06141/2.78174Corr V=0.852
[Epoch 068/200] LR=0.000297 | Loss T/V=0.04752/0.08191 | MAE  T/V=2.19042/2.78089Corr V=0.856
[Epoch 069/200] LR=0.000297 | Loss T/V=0.04818/0.10294 | MAE  T/V=2.14151/2.86008Corr V=0.859
[Epoch 070/200] LR=0.000297 | Loss T/V=0.05079/0.13618 | MAE  T/V=2.24657/3.37127Corr V=0.850
[Epoch 071/200] LR=0.000297 | Loss T/V=0.04268/0.10001 | MAE  T/V=2.11011/2.90318Corr V=0.863
[Epoch 072/200] LR=0.000297 | Loss T/V=0.04590/0.08984 | MAE  T/V=2.18610/2.83644Corr V=0.874
[Epoch 073/200] LR=0.000297 | Loss T/V=0.04519/0.09957 | MAE  T/V=2.12020/3.06796Corr V=0.853
[Epoch 074/200] LR=0.000297 | Loss T/V=0.04369/0.13513 | MAE  T/V=2.13730/3.33587Corr V=0.865
[Epoch 075/200] LR=0.000297 | Loss T/V=0.04918/0.10908 | MAE  T/V=2.12391/2.85306Corr V=0.859
[Epoch 076/200] LR=0.000297 | Loss T/V=0.04777/0.10580 | MAE  T/V=2.17584/2.70635Corr V=0.854
[Epoch 077/200] LR=0.000297 | Loss T/V=0.04673/0.11343 | MAE  T/V=2.15385/3.13818Corr V=0.858
[Epoch 078/200] LR=0.000297 | Loss T/V=0.04319/0.09164 | MAE  T/V=2.08613/2.80174Corr V=0.855
[Epoch 079/200] LR=0.000297 | Loss T/V=0.04451/0.07986 | MAE  T/V=2.13784/2.50628Corr V=0.868
[Epoch 080/200] LR=0.000297 | Loss T/V=0.04235/0.09444 | MAE  T/V=2.09145/2.72647Corr V=0.860
[Epoch 081/200] LR=0.000297 | Loss T/V=0.05096/0.09187 | MAE  T/V=2.15589/2.83498Corr V=0.866
[Epoch 082/200] LR=0.000297 | Loss T/V=0.04814/0.11332 | MAE  T/V=2.18084/2.68085Corr V=0.863
[Epoch 083/200] LR=0.000297 | Loss T/V=0.04516/0.09797 | MAE  T/V=2.11078/2.71804Corr V=0.865
[Epoch 084/200] LR=0.000297 | Loss T/V=0.04368/0.12003 | MAE  T/V=2.08890/2.69257Corr V=0.843
[Epoch 085/200] LR=0.000296 | Loss T/V=0.04113/0.09460 | MAE  T/V=2.08849/2.72830Corr V=0.853
[Epoch 086/200] LR=0.000296 | Loss T/V=0.04168/0.13016 | MAE  T/V=2.11468/2.89470Corr V=0.851
[Epoch 087/200] LR=0.000296 | Loss T/V=0.04729/0.08580 | MAE  T/V=2.12153/2.80477Corr V=0.868
[Epoch 088/200] LR=0.000296 | Loss T/V=0.03850/0.10423 | MAE  T/V=2.04644/3.00774Corr V=0.862
[Epoch 089/200] LR=0.000296 | Loss T/V=0.04527/0.11194 | MAE  T/V=2.04864/2.95948Corr V=0.879
[Epoch 090/200] LR=0.000296 | Loss T/V=0.04097/0.07514 | MAE  T/V=2.03837/2.49828Corr V=0.879
[Epoch 091/200] LR=0.000296 | Loss T/V=0.03935/0.08995 | MAE  T/V=2.03294/2.45848Corr V=0.859
[Epoch 092/200] LR=0.000296 | Loss T/V=0.04036/0.09535 | MAE  T/V=1.99862/2.79086Corr V=0.874
[Epoch 093/200] LR=0.000296 | Loss T/V=0.03864/0.09314 | MAE  T/V=1.99028/2.88931Corr V=0.865
[Epoch 094/200] LR=0.000296 | Loss T/V=0.05195/0.11800 | MAE  T/V=2.23047/2.75087Corr V=0.865
[Epoch 095/200] LR=0.000296 | Loss T/V=0.04236/0.12218 | MAE  T/V=2.09203/3.09509Corr V=0.867
[Epoch 096/200] LR=0.000296 | Loss T/V=0.04592/0.10039 | MAE  T/V=2.07764/2.60030Corr V=0.859
[Epoch 097/200] LR=0.000296 | Loss T/V=0.04952/0.09100 | MAE  T/V=2.17343/2.96004Corr V=0.875
[Epoch 098/200] LR=0.000296 | Loss T/V=0.04448/0.09774 | MAE  T/V=2.12933/2.50487Corr V=0.841
[Epoch 099/200] LR=0.000296 | Loss T/V=0.03656/0.10789 | MAE  T/V=1.98175/2.89186Corr V=0.831
[Epoch 100/200] LR=0.000296 | Loss T/V=0.04362/0.09540 | MAE  T/V=2.05049/2.99366Corr V=0.857
[Epoch 101/200] LR=0.000295 | Loss T/V=0.04314/0.10821 | MAE  T/V=2.05763/2.97324Corr V=0.858
[Epoch 102/200] LR=0.000295 | Loss T/V=0.04071/0.10824 | MAE  T/V=2.07120/2.75154Corr V=0.860
[Epoch 103/200] LR=0.000295 | Loss T/V=0.04107/0.07252 | MAE  T/V=2.05338/2.11134Corr V=0.866
[Epoch 104/200] LR=0.000295 | Loss T/V=0.04360/0.08389 | MAE  T/V=2.09389/2.62768Corr V=0.870
[Epoch 105/200] LR=0.000295 | Loss T/V=0.03924/0.11684 | MAE  T/V=2.03325/2.83171Corr V=0.866
[Epoch 106/200] LR=0.000295 | Loss T/V=0.03493/0.09934 | MAE  T/V=1.96901/2.71466Corr V=0.865
[Epoch 107/200] LR=0.000295 | Loss T/V=0.03819/0.10745 | MAE  T/V=1.97613/2.71561Corr V=0.877
[Epoch 108/200] LR=0.000295 | Loss T/V=0.04001/0.11128 | MAE  T/V=2.01006/2.73556Corr V=0.873
[Epoch 109/200] LR=0.000295 | Loss T/V=0.04173/0.09247 | MAE  T/V=2.06564/2.60843Corr V=0.863
[Epoch 110/200] LR=0.000295 | Loss T/V=0.04117/0.09263 | MAE  T/V=2.02183/2.57975Corr V=0.854
[Epoch 111/200] LR=0.000295 | Loss T/V=0.03871/0.10675 | MAE  T/V=1.99875/2.75220Corr V=0.865
[Epoch 112/200] LR=0.000295 | Loss T/V=0.03869/0.09978 | MAE  T/V=1.95520/3.21037Corr V=0.872
[Epoch 113/200] LR=0.000295 | Loss T/V=0.03920/0.12613 | MAE  T/V=2.04034/2.88186Corr V=0.866
[Epoch 114/200] LR=0.000294 | Loss T/V=0.04134/0.11293 | MAE  T/V=2.04747/2.84957Corr V=0.852
[Epoch 115/200] LR=0.000294 | Loss T/V=0.03927/0.10410 | MAE  T/V=2.04192/3.21427Corr V=0.866
[Epoch 116/200] LR=0.000294 | Loss T/V=0.03567/0.08722 | MAE  T/V=1.95499/2.64995Corr V=0.850
[Epoch 117/200] LR=0.000294 | Loss T/V=0.04166/0.07755 | MAE  T/V=2.05455/2.38529Corr V=0.873
[Epoch 118/200] LR=0.000294 | Loss T/V=0.03850/0.08656 | MAE  T/V=2.00612/2.33816Corr V=0.858
[Epoch 119/200] LR=0.000294 | Loss T/V=0.03633/0.09611 | MAE  T/V=1.95259/2.67522Corr V=0.874
[Epoch 120/200] LR=0.000294 | Loss T/V=0.03916/0.10268 | MAE  T/V=2.00101/2.78828Corr V=0.875
[Epoch 121/200] LR=0.000294 | Loss T/V=0.04444/0.10254 | MAE  T/V=2.05556/3.09672Corr V=0.875
[Epoch 122/200] LR=0.000294 | Loss T/V=0.03546/0.08164 | MAE  T/V=1.94383/2.56333Corr V=0.870
[Epoch 123/200] LR=0.000294 | Loss T/V=0.03840/0.12282 | MAE  T/V=1.99529/3.03833Corr V=0.861
[Epoch 124/200] LR=0.000293 | Loss T/V=0.03894/0.08011 | MAE  T/V=2.00550/2.40879Corr V=0.872
[Epoch 125/200] LR=0.000293 | Loss T/V=0.03781/0.08822 | MAE  T/V=1.99809/2.55783Corr V=0.887
[Epoch 126/200] LR=0.000293 | Loss T/V=0.03708/0.09834 | MAE  T/V=1.97060/2.66085Corr V=0.873
[Epoch 127/200] LR=0.000293 | Loss T/V=0.03697/0.10903 | MAE  T/V=1.93471/2.98435Corr V=0.883
[Epoch 128/200] LR=0.000293 | Loss T/V=0.03866/0.11118 | MAE  T/V=1.99119/2.72827Corr V=0.882
[Epoch 129/200] LR=0.000293 | Loss T/V=0.03845/0.09086 | MAE  T/V=2.01202/2.65210Corr V=0.879
[Epoch 130/200] LR=0.000293 | Loss T/V=0.03699/0.10592 | MAE  T/V=1.96839/3.10394Corr V=0.879
[Epoch 131/200] LR=0.000293 | Loss T/V=0.03384/0.10663 | MAE  T/V=1.92393/2.85651Corr V=0.876
[Epoch 132/200] LR=0.000292 | Loss T/V=0.03463/0.11495 | MAE  T/V=1.94892/2.99577Corr V=0.878
[Epoch 133/200] LR=0.000292 | Loss T/V=0.03646/0.09636 | MAE  T/V=1.97970/2.97278Corr V=0.880
[Epoch 134/200] LR=0.000292 | Loss T/V=0.03558/0.09749 | MAE  T/V=1.92496/2.81629Corr V=0.869
[Epoch 135/200] LR=0.000292 | Loss T/V=0.03432/0.13438 | MAE  T/V=1.91414/3.02998Corr V=0.869
[Epoch 136/200] LR=0.000292 | Loss T/V=0.03948/0.09674 | MAE  T/V=2.05170/2.78263Corr V=0.876
[Epoch 137/200] LR=0.000292 | Loss T/V=0.03500/0.10510 | MAE  T/V=1.87806/2.64126Corr V=0.879
[Epoch 138/200] LR=0.000292 | Loss T/V=0.03641/0.09946 | MAE  T/V=1.97640/2.81368Corr V=0.875
[Epoch 139/200] LR=0.000291 | Loss T/V=0.03630/0.10585 | MAE  T/V=1.89947/2.73072Corr V=0.887
[Epoch 140/200] LR=0.000291 | Loss T/V=0.03647/0.08553 | MAE  T/V=1.95113/2.66880Corr V=0.877
[Epoch 141/200] LR=0.000291 | Loss T/V=0.03488/0.09295 | MAE  T/V=1.90847/2.61577Corr V=0.872
[Epoch 142/200] LR=0.000291 | Loss T/V=0.03774/0.09171 | MAE  T/V=1.92237/2.77787Corr V=0.884
[Epoch 143/200] LR=0.000291 | Loss T/V=0.03514/0.08935 | MAE  T/V=1.94159/2.49214Corr V=0.872
[Epoch 144/200] LR=0.000291 | Loss T/V=0.03431/0.10443 | MAE  T/V=1.93661/2.99654Corr V=0.885
[Epoch 145/200] LR=0.000290 | Loss T/V=0.03364/0.09545 | MAE  T/V=1.94865/2.65398Corr V=0.887
[Epoch 146/200] LR=0.000290 | Loss T/V=0.03382/0.09247 | MAE  T/V=1.89940/2.33006Corr V=0.877
[Epoch 147/200] LR=0.000290 | Loss T/V=0.03424/0.09694 | MAE  T/V=1.92499/2.38979Corr V=0.880
[Epoch 148/200] LR=0.000290 | Loss T/V=0.03622/0.10121 | MAE  T/V=1.94927/3.02093Corr V=0.877
[Epoch 149/200] LR=0.000290 | Loss T/V=0.03423/0.09476 | MAE  T/V=1.93633/2.52215Corr V=0.874
[Epoch 150/200] LR=0.000289 | Loss T/V=0.03518/0.10565 | MAE  T/V=1.91551/2.83689Corr V=0.888
[Epoch 151/200] LR=0.000289 | Loss T/V=0.03514/0.10260 | MAE  T/V=1.93376/2.67890Corr V=0.896
[Epoch 152/200] LR=0.000289 | Loss T/V=0.03296/0.10023 | MAE  T/V=1.86980/2.54688Corr V=0.886
[Epoch 153/200] LR=0.000289 | Loss T/V=0.03555/0.09101 | MAE  T/V=1.90782/2.50296Corr V=0.885
Early stopping after 153 epochs (no improvement 50).

=== Final Test Metrics ===
MSE : 64.307396
RMSE: 8.019189
MAE : 3.589148
Saved predictions -> /Users/suyeong/Desktop/temp_workspace/influenza-prediction-model/ili_predictions.csv
Saved plot -> /Users/suyeong/Desktop/temp_workspace/influenza-prediction-model/plot_last_window.png

=== Weekly Metrics (vs test_ili.csv) ===
MSE : 110.787874
RMSE: 10.525582
MAE : 5.424085
Saved plot -> /Users/suyeong/Desktop/temp_workspace/influenza-prediction-model/plot_test_reconstruction.png
Saved plot -> /Users/suyeong/Desktop/temp_workspace/influenza-prediction-model/plot_ma_curves.png
[FI] Baseline Val MAE: 2.111342
[FI] Baseline Test MAE: 3.589148
[FI]                  ili | ΔMAE(val) perm=+13.126687  mean=+13.944691
[FI]            delta_ili | ΔMAE(val) perm=+1.845702  mean=+1.229862
[FI]             peak_gap | ΔMAE(val) perm=+1.601313  mean=+1.323004
[FI] Saved -> /Users/suyeong/Desktop/temp_workspace/influenza-prediction-model/feature_importance.csv
[FI] Saved -> /Users/suyeong/Desktop/temp_workspace/influenza-prediction-model/feature_importance.png

============================================================
=== [최종 결과 요약] ===
============================================================
✅ Feature 개수: 3

📊 [Top 10 Feature Importance]
  feature  delta_mae_val_perm  delta_mae_val_mean  delta_mae_test_perm  delta_mae_test_mean
      ili           13.126687           13.944691            17.344112            14.575364
delta_ili            1.845702            1.229862             3.275402             2.757817
 peak_gap            1.601313            1.323004             1.413025             1.432350

💾 저장된 파일:
   - feature_importance.csv
   - feature_importance.png
