year,week,ili,detection_rate,delta_ili,week_sin,week_cos,peak_gap
2017,36,5.7,2.2,0.0,-0.9350162426854147,-0.3546048870425359,
2017,37,5.8,0.0,0.09999999999999964,-0.970941817426052,-0.23931566428755774,-0.09999999999999964
2017,38,6.1,0.0,0.2999999999999998,-0.992708874098054,-0.12053668025532357,-0.2999999999999998
2017,39,4.7,2.2,-1.3999999999999995,-1.0,-1.8369701987210297e-16,1.3999999999999995
2017,40,3.5,0.0,-1.2000000000000002,-0.992708874098054,0.1205366802553232,2.5999999999999996
2017,41,4.7,0.0,1.2000000000000002,-0.9709418174260521,0.23931566428755738,1.3999999999999995
2017,42,4.0,0.0,-0.7000000000000002,-0.9350162426854148,0.35460488704253557,2.0999999999999996
2017,43,4.6,0.0,0.5999999999999996,-0.8854560256532101,0.464723172043768,1.5
2017,44,6.1,0.0,1.5,-0.822983865893657,0.5680647467311548,0.0
2017,45,6.0,0.0,-0.09999999999999964,-0.7485107481711011,0.6631226582407953,0.09999999999999964
2017,46,6.0,0.0,0.0,-0.6631226582407956,0.7485107481711007,0.09999999999999964
2017,47,7.6,6.3,1.5999999999999996,-0.5680647467311559,0.8229838658936564,-1.5
2017,48,9.2,4.2,1.5999999999999996,-0.4647231720437684,0.88545602565321,-1.5999999999999996
2017,49,17.9,12.8,8.7,-0.35460488704253595,0.9350162426854147,-8.7
2017,50,30.1,29.7,12.200000000000003,-0.2393156642875578,0.970941817426052,-12.200000000000003
2017,51,45.3,52.6,15.199999999999996,-0.12053668025532363,0.992708874098054,-15.199999999999996
2017,52,71.0,63.9,25.700000000000003,6.432490598706546e-16,1.0,-25.700000000000003
2017,53,71.0,63.9,0.0,0.12053668025532314,0.992708874098054,0.0
2018,1,81.8,65.7,10.799999999999997,0.12053668025532305,0.992708874098054,-10.799999999999997
2018,2,83.1,57.3,1.2999999999999972,0.23931566428755774,0.970941817426052,-1.2999999999999972
2018,3,65.9,63.8,-17.19999999999999,0.3546048870425356,0.9350162426854148,17.19999999999999
2018,4,46.6,48.6,-19.300000000000004,0.4647231720437685,0.8854560256532099,36.49999999999999
2018,5,39.0,62.7,-7.600000000000001,0.5680647467311558,0.8229838658936564,44.099999999999994
2018,6,32.7,42.2,-6.299999999999997,0.6631226582407952,0.7485107481711011,50.39999999999999
2018,7,32.0,53.7,-0.7000000000000028,0.7485107481711011,0.6631226582407953,51.099999999999994
2018,8,21.1,29.1,-10.899999999999999,0.8229838658936564,0.5680647467311558,61.99999999999999
2018,9,16.5,25.5,-4.600000000000001,0.8854560256532098,0.4647231720437686,66.6
2018,10,12.9,12.1,-3.5999999999999996,0.9350162426854148,0.35460488704253557,70.19999999999999
2018,11,9.7,17.0,-3.200000000000001,0.970941817426052,0.23931566428755804,56.2
2018,12,9.3,11.1,-0.3999999999999986,0.992708874098054,0.120536680255323,37.3
2018,13,8.1,8.5,-1.200000000000001,1.0,-1.6081226496766366e-16,30.9
2018,14,7.2,7.8,-0.8999999999999995,0.992708874098054,-0.12053668025532288,25.500000000000004
2018,15,8.3,2.0,1.1000000000000005,0.9709418174260521,-0.2393156642875575,23.7
2018,16,6.6,2.0,-1.700000000000001,0.9350162426854148,-0.35460488704253545,14.500000000000002
2018,17,9.5,6.3,2.9000000000000004,0.8854560256532099,-0.4647231720437685,7.0
2018,18,6.0,4.3,-3.5,0.8229838658936565,-0.5680647467311557,6.9
2018,19,6.7,2.2,0.7000000000000002,0.7485107481711013,-0.6631226582407951,2.999999999999999
2018,20,5.8,2.6,-0.9000000000000004,0.6631226582407952,-0.7485107481711012,3.7
2018,21,5.3,0.0,-0.5,0.5680647467311558,-0.8229838658936564,4.2
2018,22,5.4,6.1,0.10000000000000053,0.46472317204376906,-0.8854560256532096,4.1
2018,23,4.7,0.0,-0.7000000000000002,0.35460488704253584,-0.9350162426854147,4.8
2018,24,3.9,0.0,-0.8000000000000003,0.23931566428755768,-0.970941817426052,5.6
2018,25,5.1,0.0,1.1999999999999997,0.12053668025532308,-0.992708874098054,4.4
2018,26,4.7,0.0,-0.39999999999999947,-3.216245299353273e-16,-1.0,2.0
2018,27,4.6,0.0,-0.10000000000000053,-0.12053668025532283,-0.992708874098054,2.1000000000000005
2018,28,3.5,0.0,-1.0999999999999996,-0.23931566428755743,-0.9709418174260521,2.3
2018,29,4.3,0.0,0.7999999999999998,-0.3546048870425356,-0.9350162426854148,1.1000000000000005
2018,30,3.6,2.7,-0.6999999999999997,-0.46472317204376806,-0.8854560256532101,1.8000000000000003
2018,31,4.2,0.0,0.6000000000000001,-0.5680647467311556,-0.8229838658936565,0.8999999999999995
2018,32,2.5,0.0,-1.7000000000000002,-0.663122658240795,-0.7485107481711013,2.5999999999999996
2018,33,3.1,0.0,0.6000000000000001,-0.7485107481711011,-0.6631226582407952,1.9999999999999996
2018,34,2.7,0.0,-0.3999999999999999,-0.8229838658936564,-0.5680647467311559,2.0
2018,35,2.5,0.0,-0.20000000000000018,-0.8854560256532096,-0.4647231720437691,2.0999999999999996
2018,36,4.0,0.0,1.5,-0.9350162426854147,-0.3546048870425359,0.2999999999999998
2018,37,5.7,2.0,1.7000000000000002,-0.970941817426052,-0.23931566428755774,-1.4000000000000004
2018,38,4.9,2.2,-0.7999999999999998,-0.992708874098054,-0.12053668025532357,0.7999999999999998
2018,39,4.9,0.0,0.0,-1.0,-1.8369701987210297e-16,0.7999999999999998
2018,40,4.1,0.0,-0.8000000000000007,-0.992708874098054,0.1205366802553232,1.6000000000000005
2018,41,4.1,0.0,0.0,-0.9709418174260521,0.23931566428755738,1.6000000000000005
2018,42,3.1,0.0,-0.9999999999999996,-0.9350162426854148,0.35460488704253557,2.6
2018,43,4.6,4.5,1.4999999999999996,-0.8854560256532101,0.464723172043768,1.1000000000000005
2018,44,4.5,2.0,-0.09999999999999964,-0.822983865893657,0.5680647467311548,1.2000000000000002
2018,45,6.6,3.7,2.0999999999999996,-0.7485107481711011,0.6631226582407953,-0.8999999999999995
2018,46,9.6,9.4,3.0,-0.6631226582407956,0.7485107481711007,-3.0
2018,47,12.2,4.6,2.5999999999999996,-0.5680647467311559,0.8229838658936564,-2.5999999999999996
2018,48,20.3,31.5,8.100000000000001,-0.4647231720437684,0.88545602565321,-8.100000000000001
2018,49,37.5,23.1,17.2,-0.35460488704253595,0.9350162426854147,-17.2
2018,50,54.9,27.9,17.4,-0.2393156642875578,0.970941817426052,-17.4
2018,51,79.6,54.9,24.699999999999996,-0.12053668025532363,0.992708874098054,-24.699999999999996
2018,52,82.8,52.3,3.200000000000003,6.432490598706546e-16,1.0,-3.200000000000003
2018,53,82.8,52.3,0.0,0.12053668025532314,0.992708874098054,0.0
2019,1,65.3,55.2,-17.5,0.12053668025532305,0.992708874098054,17.5
2019,2,43.2,47.8,-22.099999999999994,0.23931566428755774,0.970941817426052,39.599999999999994
2019,3,28.3,29.8,-14.900000000000002,0.3546048870425356,0.9350162426854148,54.5
2019,4,19.0,24.5,-9.3,0.4647231720437685,0.8854560256532099,63.8
2019,5,14.8,14.0,-4.199999999999999,0.5680647467311558,0.8229838658936564,68.0
2019,6,13.8,11.1,-1.0,0.6631226582407952,0.7485107481711011,69.0
2019,7,10.3,12.2,-3.5,0.7485107481711011,0.6631226582407953,72.5
2019,8,10.6,14.9,0.29999999999999893,0.8229838658936564,0.5680647467311558,72.2
2019,9,10.0,14.6,-0.5999999999999996,0.8854560256532098,0.4647231720437686,55.3
2019,10,10.6,18.8,0.5999999999999996,0.9350162426854148,0.35460488704253557,32.6
2019,11,11.1,24.5,0.5,0.970941817426052,0.23931566428755804,17.200000000000003
2019,12,18.5,11.8,7.4,0.992708874098054,0.120536680255323,0.5
2019,13,21.7,32.8,3.1999999999999993,1.0,-1.6081226496766366e-16,-3.1999999999999993
2019,14,25.5,31.0,3.8000000000000007,0.992708874098054,-0.12053668025532288,-3.8000000000000007
2019,15,33.1,39.4,7.600000000000001,0.9709418174260521,-0.2393156642875575,-7.600000000000001
2019,16,32.6,37.5,-0.5,0.9350162426854148,-0.35460488704253545,0.5
2019,17,0.0,25.0,-32.6,0.8854560256532099,-0.4647231720437685,33.1
2019,18,19.6,18.0,19.6,0.8229838658936565,-0.5680647467311557,13.5
2019,19,13.7,12.5,-5.900000000000002,0.7485107481711013,-0.6631226582407951,19.400000000000002
2019,20,8.5,2.2,-5.199999999999999,0.6631226582407952,-0.7485107481711012,24.6
2019,21,6.4,9.1,-2.0999999999999996,0.5680647467311558,-0.8229838658936564,26.700000000000003
2019,22,4.6,4.5,-1.8000000000000007,0.46472317204376906,-0.8854560256532096,28.5
2019,23,4.3,0.0,-0.2999999999999998,0.35460488704253584,-0.9350162426854147,28.8
2019,24,4.4,2.3,0.10000000000000053,0.23931566428755768,-0.970941817426052,28.200000000000003
2019,25,3.6,0.0,-0.8000000000000003,0.12053668025532308,-0.992708874098054,16.0
2019,26,2.7,0.0,-0.8999999999999999,-3.216245299353273e-16,-1.0,16.900000000000002
2019,27,3.5,0.0,0.7999999999999998,-0.12053668025532283,-0.992708874098054,10.2
2019,28,3.7,0.0,0.20000000000000018,-0.23931566428755743,-0.9709418174260521,4.8
2019,29,3.2,0.0,-0.5,-0.3546048870425356,-0.9350162426854148,3.2
2019,30,4.1,0.0,0.8999999999999995,-0.46472317204376806,-0.8854560256532101,0.5
2019,31,3.7,0.0,-0.39999999999999947,-0.5680647467311556,-0.8229838658936565,0.7000000000000002
2019,32,3.7,0.0,0.0,-0.663122658240795,-0.7485107481711013,0.7000000000000002
2019,33,3.5,0.0,-0.20000000000000018,-0.7485107481711011,-0.6631226582407952,0.5999999999999996
2019,34,4.0,0.0,0.5,-0.8229838658936564,-0.5680647467311559,0.09999999999999964
2019,35,3.0,0.0,-1.0,-0.8854560256532096,-0.4647231720437691,1.0999999999999996
2019,36,3.6,0.0,0.6000000000000001,-0.9350162426854147,-0.3546048870425359,0.49999999999999956
2019,37,3.6,0.0,0.0,-0.970941817426052,-0.23931566428755774,0.49999999999999956
2019,38,3.8,0.0,0.19999999999999973,-0.992708874098054,-0.12053668025532357,0.2999999999999998
2019,39,3.7,2.0,-0.09999999999999964,-1.0,-1.8369701987210297e-16,0.2999999999999998
2019,40,4.0,0.0,0.2999999999999998,-0.992708874098054,0.1205366802553232,0.0
2019,41,5.6,2.2,1.5999999999999996,-0.9709418174260521,0.23931566428755738,-1.5999999999999996
2019,42,6.7,0.0,1.1000000000000005,-0.9350162426854148,0.35460488704253557,-1.1000000000000005
2019,43,4.9,0.0,-1.7999999999999998,-0.8854560256532101,0.464723172043768,1.7999999999999998
2019,44,5.1,0.0,0.1999999999999993,-0.822983865893657,0.5680647467311548,1.6000000000000005
2019,45,5.9,5.4,0.8000000000000007,-0.7485107481711011,0.6631226582407953,0.7999999999999998
2019,46,7.0,2.3,1.0999999999999996,-0.6631226582407956,0.7485107481711007,-0.2999999999999998
2019,47,9.4,14.5,2.4000000000000004,-0.5680647467311559,0.8229838658936564,-2.4000000000000004
2019,48,9.4,10.9,0.0,-0.4647231720437684,0.88545602565321,0.0
2019,49,17.0,11.5,7.6,-0.35460488704253595,0.9350162426854147,-7.6
2019,50,24.3,14.5,7.300000000000001,-0.2393156642875578,0.970941817426052,-7.300000000000001
2019,51,35.4,25.0,11.099999999999998,-0.12053668025532363,0.992708874098054,-11.099999999999998
2019,52,48.7,37.2,13.300000000000004,6.432490598706546e-16,1.0,-13.300000000000004
2019,53,48.7,37.2,0.0,0.12053668025532314,0.992708874098054,0.0
2020,1,55.1,50.0,6.399999999999999,0.12053668025532305,0.992708874098054,-6.399999999999999
2020,2,61.3,43.0,6.199999999999996,0.23931566428755774,0.970941817426052,-6.199999999999996
2020,3,48.1,41.4,-13.199999999999996,0.3546048870425356,0.9350162426854148,13.199999999999996
2020,4,46.5,55.9,-1.6000000000000014,0.4647231720437685,0.8854560256532099,14.799999999999997
2020,5,32.5,44.4,-14.0,0.5680647467311558,0.8229838658936564,28.799999999999997
2020,6,17.9,12.5,-14.600000000000001,0.6631226582407952,0.7485107481711011,43.4
2020,7,11.2,3.8,-6.699999999999999,0.7485107481711011,0.6631226582407953,50.099999999999994
2020,8,8.7,2.4,-2.5,0.8229838658936564,0.5680647467311558,52.599999999999994
2020,9,6.1,0.0,-2.5999999999999996,0.8854560256532098,0.4647231720437686,55.199999999999996
